epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,6217.42,0.99805,1.43284,1.05653,0.77817,0.70048,0.76236,0.4939,1.17598,1.81745,1.20453,0.0007724,0.0007724,0.0007724
64,6315.86,1.00536,1.41245,1.05032,0.76786,0.7029,0.76486,0.49836,1.16885,1.76185,1.21013,0.0007526,0.0007526,0.0007526
65,6414.01,0.9722,1.38153,1.03797,0.7486,0.70773,0.77568,0.49612,1.18498,1.75635,1.20212,0.0007328,0.0007328,0.0007328
66,6512.09,0.98847,1.38239,1.03824,0.80775,0.67997,0.77436,0.49168,1.1756,1.78409,1.20928,0.000713,0.000713,0.000713
67,6610.61,0.98568,1.38868,1.03764,0.75436,0.70531,0.76574,0.4963,1.17724,1.72872,1.20663,0.0006932,0.0006932,0.0006932
68,6708.82,0.97047,1.35857,1.0336,0.73014,0.73188,0.76694,0.49991,1.16958,1.79387,1.20372,0.0006734,0.0006734,0.0006734
69,6806.99,0.94397,1.32788,1.02115,0.76842,0.7053,0.77217,0.50027,1.18158,1.80607,1.20464,0.0006536,0.0006536,0.0006536
70,6905.27,0.97161,1.38939,1.03856,0.74959,0.73913,0.77472,0.49713,1.16802,1.71603,1.19395,0.0006338,0.0006338,0.0006338
71,7003.55,0.95064,1.3569,1.02918,0.7549,0.74395,0.78191,0.50305,1.16439,1.69843,1.20436,0.000614,0.000614,0.000614
72,7101.91,0.95701,1.36185,1.02375,0.7368,0.74155,0.7747,0.5041,1.17831,1.74824,1.20342,0.0005942,0.0005942,0.0005942
73,7200.44,0.94017,1.34241,1.02857,0.78102,0.72367,0.78411,0.51046,1.18471,1.72199,1.20678,0.0005744,0.0005744,0.0005744
74,7298.66,0.94649,1.32312,1.02553,0.79805,0.67771,0.76895,0.50104,1.1712,1.78696,1.20029,0.0005546,0.0005546,0.0005546
75,7396.99,0.94158,1.30972,1.02244,0.76549,0.71981,0.77919,0.50913,1.16836,1.73625,1.18617,0.0005348,0.0005348,0.0005348
76,7495.28,0.93039,1.28315,1.00761,0.78465,0.71288,0.76659,0.49953,1.17392,1.7599,1.20681,0.000515,0.000515,0.000515
77,7593.55,0.93117,1.30462,1.01865,0.78012,0.71014,0.77361,0.50559,1.18228,1.76144,1.21222,0.0004952,0.0004952,0.0004952
78,7691.96,0.91217,1.27464,1.0032,0.79082,0.70531,0.77135,0.50995,1.15815,1.70792,1.18506,0.0004754,0.0004754,0.0004754
79,7790.32,0.90755,1.2654,1.00516,0.79168,0.7029,0.78146,0.50548,1.16391,1.74481,1.17559,0.0004556,0.0004556,0.0004556
80,7888.61,0.91443,1.28181,1.01916,0.7363,0.72947,0.77374,0.50749,1.16779,1.71723,1.19438,0.0004358,0.0004358,0.0004358
81,7986.58,0.90594,1.25636,1.00831,0.78718,0.71256,0.78881,0.51678,1.14722,1.66511,1.18513,0.000416,0.000416,0.000416
82,8085.01,0.90744,1.24977,1.00315,0.78333,0.72464,0.78674,0.51564,1.18048,1.70006,1.21026,0.0003962,0.0003962,0.0003962
83,8183.22,0.90701,1.25647,1.00253,0.81924,0.69807,0.78417,0.51055,1.15773,1.6783,1.19695,0.0003764,0.0003764,0.0003764
84,8281.71,0.89086,1.22648,0.99428,0.77537,0.72222,0.78653,0.51362,1.14307,1.67289,1.19709,0.0003566,0.0003566,0.0003566
85,8379.85,0.87837,1.2288,0.99389,0.8296,0.68206,0.78573,0.5191,1.14285,1.66541,1.17954,0.0003368,0.0003368,0.0003368
86,8478.21,0.87347,1.21321,0.9918,0.79616,0.72646,0.78571,0.515,1.13838,1.68234,1.18534,0.000317,0.000317,0.000317
87,8576.62,0.87339,1.21538,0.98782,0.70317,0.79227,0.78272,0.51506,1.1547,1.68494,1.20112,0.0002972,0.0002972,0.0002972
88,8675.12,0.88251,1.22524,0.99661,0.7929,0.72464,0.78782,0.52259,1.12449,1.67045,1.1694,0.0002774,0.0002774,0.0002774
89,8773.77,0.86682,1.19652,0.99471,0.80314,0.72222,0.7901,0.51962,1.14753,1.64863,1.18248,0.0002576,0.0002576,0.0002576
